Restaurant ID,Restaurant Name,Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Primary Cuisine,Cost Category,Popularity
6317637,Le Petit Souffle,162,Makati City,"Century City Mall, Poblacion, Makati City",121.027535,14.565443,"french, japanese, desserts",1100,BOTSWANA PULA(P),Yes,No,No,3,4.8,314,french,High,0.02871776111212731
6304287,Izakaya Kikufuji,162,Makati City,"Little Tokyo, Legaspi Village, Makati City",121.014101,14.553708,japanese,1200,BOTSWANA PULA(P),Yes,No,No,3,4.5,591,japanese,High,0.054051582220596306
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",121.056831,14.581404,"seafood, asian, filipino, indian",4000,BOTSWANA PULA(P),Yes,No,No,4,4.4,270,seafood,High,0.02469361624291202
6318506,Ooma,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.056475,14.585318,"japanese, sushi",1500,BOTSWANA PULA(P),No,No,No,4,4.9,365,japanese,High,0.03338211084689958
6314302,Sambo Kojin,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.057508,14.58445,"japanese, korean",1500,BOTSWANA PULA(P),Yes,No,No,4,4.8,229,japanese,High,0.02094384488750686
18189371,Din Tai Fung,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",121.056314,14.583764,chinese,1000,BOTSWANA PULA(P),No,No,No,3,4.4,336,chinese,High,0.030729833546734954
6300781,Buffet 101,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",120.9796667,14.53133333,"asian, european",2000,BOTSWANA PULA(P),Yes,No,No,4,4.0,520,asian,High,0.04755807572708981
6301290,Vikings,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",120.9793333,14.54,"seafood, filipino, asian, european",2000,BOTSWANA PULA(P),Yes,No,No,4,4.2,677,seafood,High,0.06191695628315347
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",120.98009,14.55299,"european, asian, indian",6000,BOTSWANA PULA(P),Yes,No,No,4,4.9,621,european,High,0.05679531735869764
6314987,Locavore,162,Pasig City,Kapitolyo,121.056532,14.572041,filipino,1100,BOTSWANA PULA(P),Yes,No,No,3,4.8,532,filipino,High,0.04865556978233035
6309903,Silantro Fil-Mex,162,Pasig City,Kapitolyo,121.057916,14.567689,"filipino, mexican",800,BOTSWANA PULA(P),No,No,No,3,4.9,1070,filipino,High,0.09785988659228095
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,Kapitolyo,121.06082,14.570849,"american, ice cream, desserts",900,BOTSWANA PULA(P),Yes,No,No,3,4.2,488,american,High,0.04463142491311505
6318433,Silantro Fil-Mex,162,Quezon City,"UP Town Center, Diliman, Quezon City",121.075419,14.649503,"filipino, mexican",800,BOTSWANA PULA(P),No,No,No,3,4.8,294,filipino,High,0.026888604353393086
6310470,Guevarra's,162,San Juan City,Addition Hills,121.0335917,14.59345,filipino,1000,BOTSWANA PULA(P),Yes,No,No,3,4.2,458,filipino,High,0.04188768977501372
6314605,Sodam Korean Restaurant,162,San Juan City,Little Baguio,121.03811,14.59889,korean,700,BOTSWANA PULA(P),No,No,No,3,4.3,223,korean,High,0.020395097859886593
18185059,Cafe Arabelle,162,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",121.05704,14.237082,"cafe, american, italian, filipino",800,BOTSWANA PULA(P),No,No,No,3,3.6,29,cafe,High,0.0026522773001646243
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa",121.0565874,14.23767897,"italian, pizza",850,BOTSWANA PULA(P),No,No,No,3,4.0,72,italian,High,0.006584964331443205
6318213,Balay Dako,162,Tagaytay City,Tagaytay City,120.951589,14.101834,filipino,1200,BOTSWANA PULA(P),Yes,No,No,3,4.5,211,filipino,High,0.019297603804646058
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",121.045878,14.55436,"cafe, korean, desserts",600,BOTSWANA PULA(P),No,No,No,2,4.5,118,cafe,High,0.010792024876531919
6308205,Wildflour Cafe + Bakery,162,Taguig City,Bonifacio Global City,121.04622,14.549337,"cafe, bakery, american, italian",1500,BOTSWANA PULA(P),Yes,No,No,4,4.4,392,cafe,High,0.03585147247119078
6315438,NIU by Vikings,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",121.053725,14.545858,"seafood, american, mediterranean, japanese",3000,BOTSWANA PULA(P),Yes,No,No,4,4.7,535,seafood,High,0.04892994329614048
6310406,The Food Hall by Todd English,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",121.0534998,14.54565535,"american, asian, italian, seafood",1800,BOTSWANA PULA(P),Yes,No,No,4,4.5,618,american,High,0.056520943844887504
6600681,Chez Michou,30,Brasí_lia,Asa Norte,-47.88178889,-15.76414167,"fast food, french",55,BRAZILIAN REAL(R$),No,No,No,2,3.0,6,fast food,High,0.000548747027620267
6601005,Cafí© Daniel Briand,30,Brasí_lia,Asa Norte,-47.88266667,-15.7775,cafe,30,BRAZILIAN REAL(R$),No,No,No,1,3.8,9,cafe,High,0.0008231205414304006
6600292,Casa do Biscoito Mineiro,30,Brasí_lia,Asa Norte,-47.88213611,-15.75747222,bakery,45,BRAZILIAN REAL(R$),No,No,No,2,3.7,11,bakery,High,0.001006036217303823
6600441,Maori,30,Brasí_lia,Asa Norte,-47.88816667,-15.75883333,brazilian,60,BRAZILIAN REAL(R$),No,No,No,3,3.8,11,brazilian,High,0.001006036217303823
